sample_id,class_name,method_name,code_sample,label
82657,FilterExecutor,execute,"class FilterExecutor {
        public void execute(TridentTuple tuple, TridentCollector collector) {
            if (filter.isKeep(tuple)) {
                collector.emit(null);
            }
        }
}

class Filter {
    public void isKeep() {}
}

class Collector {
    public void emit() {}
}",0
82658,FilterExecutor,prepare,"class FilterExecutor {
        public void prepare(Map<String, Object> conf, TridentOperationContext context) {
            filter.prepare(conf, context);
        }
}

class Filter {
    public void prepare() {}
}",1
82659,FilterExecutor,cleanup,"class FilterExecutor {
        public void cleanup() {
            filter.cleanup();
        }
}

class Filter {
    public void cleanup() {}
}",1
82660,FlatMapFunctionExecutor,execute,"class FlatMapFunctionExecutor {
        public void execute(TridentTuple tuple, TridentCollector collector) {
            for (Values values : function.execute(tuple)) {
                collector.emit(values);
            }
        }
}

class Function {
    public void execute() {}
}

class Collector {
    public void emit() {}
}",1
82661,GroupCollector,emit,"class GroupCollector {
        public void emit(List<Object> values) {
            List[] delegates = new List[2];
            delegates[0] = currGroup;
            delegates[1] = values;
            collector.emit(factory.create(delegates));
        }
}

class Collector {
    public void emit() {}
}

class Factory {
    public void create() {}
}",1
82662,GroupCollector,flush,"class GroupCollector {
        public void flush() {
            collector.flush();
        }
}

class Collector {
    public void flush() {}
}",1
82663,GroupCollector,reportError,"class GroupCollector {
        public void reportError(Throwable t) {
            collector.reportError(t);
        }
}

class Collector {
    public void reportError() {}
}",1
82664,GroupedAggregator,prepare,"class GroupedAggregator {
        public void prepare(Map<String, Object> conf, TridentOperationContext context) {
            inputFactory = context.makeProjectionFactory(inFields);
            groupFactory = context.makeProjectionFactory(groupFields);
            agg.prepare(conf, new TridentOperationContext(context, inputFactory));
        }
}

class Context {
    public void makeProjectionFactory() {}
}",0
82665,GroupedAggregator,aggregate,"class GroupedAggregator {
        public void aggregate(Object[] arr, TridentTuple tuple, TridentCollector collector) {
            GroupCollector groupColl = (GroupCollector) arr[0];
            Map<List, Object> val = (Map) arr[1];
            TridentTuple group = groupFactory.create((TridentTupleView) tuple);
            TridentTuple input = inputFactory.create((TridentTupleView) tuple);
            Object curr;
            if (!val.containsKey(group)) {
                curr = agg.init(arr[2], groupColl);
                val.put((List) group, curr);
            } else {
                curr = val.get(group);
            }
            groupColl.currGroup = group;
            agg.aggregate(curr, input, groupColl);
        }
}

class GroupFactory {
    public void create() {}
}

class InputFactory {
    public void create() {}
}

class Val {
    public void put() {}
    public void get() {}
    public void containsKey() {}
}",0
82666,GroupedAggregator,complete,"class GroupedAggregator {
        public void complete(Object[] arr, TridentCollector collector) {
            Map<List, Object> val = (Map) arr[1];
            GroupCollector groupColl = (GroupCollector) arr[0];
            for (Entry<List, Object> e : val.entrySet()) {
                groupColl.currGroup = e.getKey();
                agg.complete(e.getValue(), groupColl);
            }
        }
}

class Val {
    public void entrySet() {}
}

class e {
    public void getKey() {}
    public void getValue() {}
}",0
82667,IdentityMultiReducer,execute,"class IdentityMultiReducer {
        public void execute(T state, int streamIndex, TridentTuple input, TridentCollector collector) {
            collector.emit(input);
        }
}

class Collector {
    public void emit() {}
}",0
82668,IndexHashBatchToPartition,partitionIndex,"class IndexHashBatchToPartition {
        public int partitionIndex(Object batchId, int numPartitions) {
            return IndexHashGrouping.objectToIndex(batchId, numPartitions);
        }
}

class IndexHashGrouping {
        public static int objectToIndex(Object val, int numPartitions) {
            if (val == null) {
                return 0;
            }
            return Utils.toPositive(val.hashCode()) % numPartitions;
        }
}",1
82669,JoinerMultiReducer,init,"class JoinerMultiReducer {
        public JoinState init(TridentCollector collector, TridentTuple group) {
            return new JoinState(types.size(), group);
        }
}

class Types {
    public void size() {}
}",0
82670,JoinerMultiReducer,complete,"class JoinerMultiReducer {
        public void complete(JoinState state, TridentTuple group, TridentCollector collector) {
            List<List>[] sides = state.sides;
            boolean wasEmpty = state.numSidesReceived < sides.length;
            for (int i = 0; i < sides.length; i++) {
                if (sides[i].isEmpty() && types.get(i) == JoinType.OUTER) {
                    state.numSidesReceived++;
                    sides[i].add(makeNullList(sideFields.get(i).size()));
                }
            }
            if (wasEmpty && state.numSidesReceived == sides.length) {
                emitCrossJoin(state, collector, -1, null);
            }
        }
}

class Types {
    public void get() {}
}",0
82671,JoinerMultiReducer,emitCrossJoin,"class JoinerMultiReducer {
        private void emitCrossJoin(JoinState state, TridentCollector collector, int overrideIndex, TridentTuple overrideTuple) {
            List<List>[] sides = state.sides;
            int[] indices = state.indices;
            for (int i = 0; i < indices.length; i++) {
                indices[i] = 0;
            }
            boolean keepGoing = true;
            while (keepGoing) {
                List[] combined = new List[sides.length + 1];
                combined[0] = state.group;
                for (int i = 0; i < sides.length; i++) {
                    if (i == overrideIndex) {
                        combined[i + 1] = overrideTuple;
                    } else {
                        combined[i + 1] = sides[i].get(indices[i]);
                    }
                }
                collector.emit(factory.create(combined));
                keepGoing = increment(sides, indices, indices.length - 1, overrideIndex);
            }
        }
}

class Collector {
    public void emit() {}
}

class Factory {
    public void create() {}
}",1
82672,MapFunctionExecutor,execute,"class MapFunctionExecutor {
        public void execute(TridentTuple tuple, TridentCollector collector) {
            collector.emit(function.execute(tuple));
        }
}

class Collector {
    public void emit() {}
}

class Function {
    public void execute() {}
}",1
82673,PreservingFieldsOrderJoinerMultiReducer,init,"class PreservingFieldsOrderJoinerMultiReducer {
        public JoinState init(TridentCollector collector, TridentTuple group) {
            return new JoinState(types.size(), group);
        }
}

class Types {
    public void size() {}
}",0
82674,PreservingFieldsOrderJoinerMultiReducer,complete,"class PreservingFieldsOrderJoinerMultiReducer {
        public void complete(JoinState state, TridentTuple group, TridentCollector collector) {
            List<List>[] sides = state.sides;
            boolean wasEmpty = state.numSidesReceived < sides.length;
            for (int i = 0; i < sides.length; i++) {
                if (sides[i].isEmpty() && types.get(i) == JoinType.OUTER) {
                    state.numSidesReceived++;
                    sides[i].add(null);
                }
            }
            if (wasEmpty && state.numSidesReceived == sides.length) {
                emitCrossJoin(state, collector, -1, null);
            }
        }
}

class Types {
    public void get() {}
}",0
82675,PreservingFieldsOrderJoinerMultiReducer,emitCrossJoin,"class PreservingFieldsOrderJoinerMultiReducer {
        private void emitCrossJoin(JoinState state, TridentCollector collector, int overrideIndex, TridentTuple overrideTuple) {
            List<List>[] sides = state.sides;
            int[] indices = state.indices;
            for (int i = 0; i < indices.length; i++) {
                indices[i] = 0;
            }
            boolean keepGoing = true;
            while (keepGoing) {
                List[] combined = new List[sides.length];
                for (int i = 0; i < sides.length; i++) {
                    List<Object> values = buildValuesForStream(state, overrideIndex, overrideTuple, sides, indices, combined, i);
                    combined[i] = values;
                }
                collector.emit(factory.create(combined));
                keepGoing = increment(sides, indices, indices.length - 1, overrideIndex);
            }
        }
}

class Collector {
    public void emit() {}
}

class Factory {
    public void create() {}
}",1
82676,PreservingFieldsOrderJoinerMultiReducer,buildValuesForStream,"class PreservingFieldsOrderJoinerMultiReducer {
        private List<Object> buildValuesForStream(JoinState state, int overrideIndex, TridentTuple overrideTuple, List<List>[] sides,
                                                  int[] indices, List[] combined, int streamIdx) {
            List sideValues;
            if (streamIdx == overrideIndex) {
                sideValues = overrideTuple;
            } else {
                sideValues = sides[streamIdx].get(indices[streamIdx]);
            }
            Fields originFields = this.originFields.get(streamIdx);
            if (sideValues == null) {
                return makeNullList(originFields.size());
            } else {
                List<Object> ret = new ArrayList<>(originFields.size());
                Fields sideFields = this.sideFields.get(streamIdx);
                Fields joinFields = joiningFields.get(streamIdx);
                int sideIdx = 0;
                for (String field : originFields) {
                    if (sideFields.contains(field)) {
                        ret.add(sideValues.get(sideIdx++));
                    } else {
                        ret.add(state.group.get(joinFields.fieldIndex(field)));
                    }
                }
                return ret;
            }
        }
}

class State {
    public void get() {}
}",1
82677,ReducerAggregatorImpl,complete,"class ReducerAggregatorImpl {
        public void complete(Result val, TridentCollector collector) {
            collector.emit(new Values(val.obj));
        }
}

class Collector {
    public void emit() {}
}",1
82678,ReducerAggStateUpdater,updateState,"class ReducerAggStateUpdater {
        public void updateState(Snapshottable state, List<TridentTuple> tuples, TridentCollector collector) {
            Object newVal = state.update(new ReducerValueUpdater(agg, tuples));
            collector.emit(new Values(newVal));
        }
}

class State {
    public void update() {}
}

class Collector {
    public void emit() {}
}",1
82679,SingleEmitAggregator,prepare,"class SingleEmitAggregator {
        public void prepare(Map<String, Object> conf, TridentOperationContext context) {
            agg.prepare(conf, context);
            this.myPartitionIndex = context.getPartitionIndex();
            this.totalPartitions = context.numPartitions();
        }
}

class Context {
    public void numPartitions() {}
    public void getPartitionIndex() {}
}",0
82680,CombinerAggregator,of,"class CombinerAggregator {
        static <T, R> CombinerAggregator<T, R, R> of(R initialValue,
                                                     BiFunction<? super R, ? super T, ? extends R> accumulator,
                                                     BiFunction<? super R, ? super R, ? extends R> combiner) {
            return new CombinerAggregator<T, R, R>() {
                public R init() {
                    return initialValue;
                }
                public R apply(R aggregate, T value) {
                    return accumulator.apply(aggregate, value);
                }
                public R merge(R accum1, R accum2) {
                    return combiner.apply(accum1, accum2);
                }
                public R result(R accum) {
                    return accum;
                }
            };
        }
}

class Accumulator {
    public void apply() {}
}

class Combiner {
    public void apply() {}
}",0
82681,PairValueJoiner,apply,"class PairValueJoiner {
        public Pair<V1, V2> apply(V1 value1, V2 value2) {
            return Pair.of(value1, value2);
        }
}

class Pair {
    public void of() {}
}",0
82682,BaseProcessor,punctuate,"class BaseProcessor {
        public void punctuate(String stream) {
            if ((stream == null) || shouldPunctuate(stream)) {
                finish();
                context.forward(PUNCTUATION);
                punctuationState.clear();
            }
        }
}

class Context {
    public void forward() {}
}",1
82683,BaseProcessor,mayBeForwardAggUpdate,"class BaseProcessor {
        protected final <R> void mayBeForwardAggUpdate(Supplier<R> result) {
            if (!context.isWindowed()) {
                context.forward(result.get());
            }
        }
}

class Context {
    public void isWindowed() {}
    public void forward() {}
}

class Result {
    public void get() {}
}",1
82684,BaseProcessor,shouldPunctuate,"class BaseProcessor {
        private boolean shouldPunctuate(String parentStream) {
            punctuationState.add(parentStream);
            return punctuationState.equals(context.getWindowedParentStreams());
        }
}

class Context {
    public void getWindowedParentStreams() {}
}",0
82685,BranchProcessor,execute,"class BranchProcessor {
        public void execute(T input) {
            for (Map.Entry<Predicate<? super T>, String> entry : predicateToStream.entrySet()) {
                if (entry.getKey().test(input)) {
                    context.forward(input, entry.getValue());
                    break;
                }
            }
        }
}

class Entry {
    public void getKey() {}
    public void getValue() {}
}

class Context {
    public void forward() {}
}",1
82686,ChainedProcessorContext,forward,"class ChainedProcessorContext {
        public void forward(T input, String stream) {
            for (ProcessorContext context : contexts) {
                context.forward(input, stream);
            }
        }
}

class Context {
    public void forward() {}
}",0
